portfolio_id,return
PF00001001,0.03000524640083313
PF00001004,0.027302652597427368
PF00001009,0.024704933166503906
PF00001013,0.02732214331626892
PF00001014,0.028267085552215576
PF00001015,0.02700379490852356
PF00001017,0.02897229790687561
PF00001023,0.02960255742073059
PF00001024,0.027891457080841064
PF00001025,0.05248779058456421
PF00001028,0.027495265007019043
PF00001032,0.030197113752365112
PF00001036,0.0276564359664917
PF00001041,0.028642117977142334
PF00001045,0.02491876482963562
PF00001047,0.02492585778236389
PF00001049,0.02695542573928833
PF00001053,0.05248779058456421
PF00001060,0.026745975017547607
PF00001067,0.02570095658302307
PF00001068,0.02773916721343994
PF00001069,0.027138113975524902
PF00001077,0.027475625276565552
PF00001078,0.0264245867729187
PF00001085,0.023022443056106567
PF00001086,0.0522313117980957
PF00001087,0.025435417890548706
PF00001088,0.025760114192962646
PF00001092,0.029842793941497803
PF00001095,0.027727246284484863
PF00001099,0.02655702829360962
PF00001100,0.02976086735725403
PF00001104,0.02734774351119995
PF00001105,0.027742624282836914
PF00001107,0.025286853313446045
PF00001108,0.05287373065948486
PF00001112,0.025286853313446045
PF00001119,0.02993166446685791
PF00001123,0.024641424417495728
PF00001126,0.027379095554351807
PF00001132,0.028084784746170044
PF00001135,0.02780047059059143
PF00001145,0.02999737858772278
PF00001148,0.02929830551147461
PF00001153,0.024482756853103638
PF00001155,0.053868651390075684
PF00001161,0.03440853953361511
PF00001164,0.02492833137512207
PF00001165,0.031117171049118042
PF00001171,0.059240132570266724
PF00001178,0.03008672595024109
PF00001179,0.020227432250976562
PF00001180,0.0578402578830719
PF00001194,0.026964545249938965
PF00001199,0.028018087148666382
PF00001198,0.0385974645614624
PF00001203,0.026964545249938965
PF00001204,0.02911016345024109
PF00001209,0.05413323640823364
PF00001210,0.026280969381332397
PF00001218,0.026430726051330566
PF00001220,0.02820482850074768
PF00001223,0.028490573167800903
PF00001225,0.026258766651153564
PF00001227,0.028331279754638672
PF00001230,0.05637550354003906
PF00001233,0.026430726051330566
PF00001236,0.025972187519073486
PF00001238,0.027358323335647583
PF00001239,0.05750083923339844
PF00001241,0.050141841173172
PF00001243,0.024482756853103638
PF00001244,0.037706077098846436
PF00001245,0.0534934401512146
PF00001253,0.02801799774169922
PF00001255,0.03172194957733154
PF00001258,0.0347481369972229
PF00001260,0.03094056248664856
PF00001262,0.026053160429000854
PF00001264,0.032440751791000366
PF00001265,0.026964545249938965
PF00001270,0.05412513017654419
PF00001274,0.026964545249938965
PF00001277,0.025451749563217163
PF00001282,0.030967742204666138
PF00001283,0.03720080852508545
PF00001285,0.027960389852523804
